petal_length.MEDIAN(training.petal_width),sepal_width.MEAN(training.petal_width),petal_length.STD(training.petal_width),petal_length.MODE(training.sepal_width),petal_length.COUNT(training),sepal_length.STD(training.petal_width),sepal_length.SKEW(training.petal_width),sepal_width.MODE(training.petal_length),sepal_width,sepal_width.MODE(training.sepal_length),sepal_width.MAX(training.petal_width),petal_length.SKEW(training.petal_width),sepal_width.SKEW(training.petal_width),sepal_length.COUNT(training),sepal_width.COUNT(training),sepal_width.STD(training.petal_width)_Missing_Flag,species
0.2,0.3,0.06405126152203484,3.0,13,0.28284271247461906,2.258637955084709,1.3,3.5,5.0,0.6,-0.05322441475907797,1.9364916731037087,9,6,0,1
0.2,1.4038461538461537,0.06405126152203484,3.0,13,0.6595452979136459,1.4053569249242015,1.4,3.0,6.5,2.3,-0.05322441475907797,-0.7954316041564151,6,26,0,1
0.2,1.2615384615384615,0.07867957924694431,3.2,7,0.0,-2.732050807568874,1.3,3.2,4.7,2.3,1.1145497793916248,-0.24213982853319915,2,13,0,1
0.2,1.2454545454545454,0.10439078454267836,3.1,13,0.04999999999999999,2.000000000000002,1.5,3.1,6.7,2.4,0.620867392735239,-0.2273186735484338,4,11,0,1
0.2,0.75,0.06405126152203484,3.0,13,0.32676869155073257,1.2428958115844235,1.4,3.6,4.6,2.5,-0.05322441475907797,1.9901329625821695,10,4,0,1
0.35,0.4,0.12909944487358055,3.3,4,0.4915960401250875,2.22863106590073,1.3,3.9,5.4,0.4,0.0,-2.897506559804391,6,2,0,1
0.2,0.7166666666666667,0.06405126152203484,3.0,13,0.04999999999999999,2.000000000000002,1.5,3.4,4.8,2.4,-0.05322441475907797,1.4623484241071376,4,12,0,1
0.2,0.7166666666666667,0.10439078454267836,3.1,13,0.32676869155073257,1.2428958115844235,1.5,3.4,4.8,2.4,0.620867392735239,1.4623484241071376,10,12,0,1
0.2,1.3199999999999998,0.06405126152203484,3.0,13,0.0,0.0,4.3,2.9,4.4,1.8,-0.05322441475907797,-1.8975065598043914,3,10,0,1
0.2,1.2454545454545454,0.10439078454267836,3.1,13,0.6595452979136459,1.4053569249242015,1.5,3.1,6.7,2.4,0.620867392735239,-0.2273186735484338,6,11,0,1
0.2,0.26666666666666666,0.10439078454267836,3.1,13,0.4915960401250875,2.22863106590073,1.5,3.7,5.1,0.4,0.620867392735239,1.7320508075688787,6,3,0,1
0.2,0.7166666666666667,0.15735915849388862,3.4,7,0.07071067811865474,0.0,1.5,3.4,4.8,2.4,1.7598154411446716,1.4623484241071376,5,12,0,1
0.2,1.4038461538461537,0.06405126152203484,3.0,13,0.07071067811865474,0.0,1.4,3.0,6.5,2.3,-0.05322441475907797,-0.7954316041564151,5,26,0,1
0.1,1.4038461538461537,-1.0,3.0,1,-1.0,-2.732050807568874,1.4,3.0,6.5,2.3,-2.9999999999999982,-0.7954316041564151,1,26,0,1
0.2,0.2,0.0,3.2,2,0.7280109889280517,-0.3374404797381013,1.2,4.0,5.8,0.2,-2.9999999999999982,-2.897506559804391,7,1,1,1
